symbol,area,owning_interface,task,occurrences,files,note
SDL_AUDIODRIVER,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,99,18,audio driver selection env var; becomes audio configuration
SDL_AudioSpec,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,39,11,audio device/stream
SDL_mixer,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,23,14,SDL header include
SDL_AUDIO_S16LE,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,22,2,audio device/stream
SDL_AudioStream,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,18,6,audio device/stream
SDL_AUDIO_F32,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,11,7,audio device/stream
SDL_AudioFormat,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,8,5,audio device/stream
SDL_AUDIO_S16,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,7,5,audio device/stream
SDL_DestroyAudioStream,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,7,4,audio device/stream
SDL_GetAudioStreamFormat,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,7,3,audio device/stream
SDL_AudioDeviceID,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,6,1,audio device/stream
SDL_OpenAudioDeviceStream,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,5,2,audio device/stream
SDL_CreateAudioStream,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,4,2,audio device/stream
SDL_PutAudioStreamData,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,4,3,audio device/stream
SDL_ResumeAudioStreamDevice,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,4,2,audio device/stream
SDL_GetAudioStreamData,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,3,3,audio device/stream
SDL_GetAudioDeviceName,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,2,1,audio device/stream
SDL_GetAudioStreamQueued,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,2,2,audio device/stream
SDL_IsSupportedChannelCount,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,2,2,audio format query
SDL_audio,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,2,2,SDL header include
SDL_AUDIO_DEVICE_DEFAULT_PLAYBACK,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_AUDIO_DEVICE_DEFAULT_RECORDING,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_AUDIO_UNKNOWN,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_ClearAudioStream,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_GetAudioRecordingDevices,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_GetAudioStreamAvailable,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_LockAudioStream,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_PauseAudioStreamDevice,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_SetAudioStreamGain,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_UnlockAudioStream,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,audio device/stream
SDL_audiocvt,audio,CNA::Audio::Platform::IAudioDevice,PLAT-91..99,1,1,SDL header include
SDL_DisplayID,display,IPlatformDisplays,PLAT-43,8,3,display/video
SDL_DisplayMode,display,IPlatformDisplays,PLAT-43,4,2,display/video
SDL_GetDisplayForWindow,display,IPlatformDisplays,PLAT-43,3,2,display/video
SDL_GetCurrentVideoDriver,display,IPlatformDisplays,PLAT-43,2,2,display/video
SDL_GetDisplayName,display,IPlatformDisplays,PLAT-43,2,2,display/video
SDL_DisableScreenSaver,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_DisplayOrientation,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_EnableScreenSaver,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetClosestFullscreenDisplayMode,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetCurrentDisplayMode,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetCurrentDisplayOrientation,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetDesktopDisplayMode,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetDisplayBounds,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetDisplayContentScale,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetDisplays,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetFullscreenDisplayModes,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetPrimaryDisplay,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_ORIENTATION_LANDSCAPE,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_ORIENTATION_LANDSCAPE_FLIPPED,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_ORIENTATION_PORTRAIT,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_ORIENTATION_PORTRAIT_FLIPPED,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_ScreenSaverEnabled,display,IPlatformDisplays,PLAT-43,1,1,display/video
SDL_GetError,error,PlatformException,PLAT-21,233,58,error reporting
SDL_ClearError,error,PlatformException,PLAT-21,1,1,error reporting
SDL_Event,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,44,7,event payload type
SDL_PumpEvents,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,21,9,event pump
SDL_EVENT_WINDOW_RESIZED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,6,4,event type constant
SDL_EVENT_GAMEPAD_BUTTON_DOWN,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,5,2,event type constant
SDL_EVENT_KEY_DOWN,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,5,2,event type constant
SDL_EVENT_WINDOW_EXPOSED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,5,3,event type constant
SDL_EVENT_WINDOW_PIXEL_SIZE_CHANGED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,5,3,event type constant
SDL_EventType,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,5,1,event payload type
SDL_EVENT_GAMEPAD_AXIS_MOTION,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,4,2,event type constant
SDL_EVENT_MOUSE_BUTTON_DOWN,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,4,2,event type constant
SDL_EVENT_WINDOW_DISPLAY_CHANGED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,4,3,event type constant
SDL_EVENT_WINDOW_DISPLAY_SCALE_CHANGED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,4,3,event type constant
SDL_EVENT_WINDOW_RESTORED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,4,3,event type constant
SDL_EVENT_DID_ENTER_FOREGROUND,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,3,event type constant
SDL_EVENT_FINGER_DOWN,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_FINGER_MOTION,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_FINGER_UP,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_GAMEPAD_ADDED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_JOYSTICK_ADDED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_KEYBOARD_ADDED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_MOUSE_ADDED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_MOUSE_WHEEL,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_SENSOR_UPDATE,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,3,event type constant
SDL_EVENT_TEXT_EDITING_CANDIDATES,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_TEXT_INPUT,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_WINDOW_CLOSE_REQUESTED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_WINDOW_FOCUS_GAINED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_WINDOW_FOCUS_LOST,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_WINDOW_MAXIMIZED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_WINDOW_MINIMIZED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_WINDOW_MOVED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_EVENT_WINDOW_SHOWN,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event type constant
SDL_PushEvent,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,3,2,event pump
SDL_EVENT_CLIPBOARD_UPDATE,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,1,event type constant
SDL_EVENT_FINGER_CANCELED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_GAMEPAD_REMOVED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_JOYSTICK_REMOVED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_KEYBOARD_REMOVED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_KEY_UP,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_LOW_MEMORY,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_MOUSE_MOTION,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_MOUSE_REMOVED,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_QUIT,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_TEXT_EDITING,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_EVENT_WILL_ENTER_BACKGROUND,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event type constant
SDL_PollEvent,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,2,2,event pump
SDL_AddEventWatch,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,1,1,event pump
SDL_EVENT_GAMEPAD_BUTTON_UP,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,1,1,event type constant
SDL_EVENT_MOUSE_BUTTON_UP,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,1,1,event type constant
SDL_RemoveEventWatch,event,PlatformEvent + IPlatform::PollEvents,PLAT-17/PLAT-33..38,1,1,event pump
SDL_IOFromConstMem,filesystem,IPlatformFileSystem,PLAT-44,3,2,IO stream
SDL_IOStream,filesystem,IPlatformFileSystem,PLAT-44,3,2,IO stream
SDL_FOLDER_MUSIC,filesystem,IPlatformFileSystem,PLAT-44,2,1,filesystem
SDL_CreateDirectory,filesystem,IPlatformFileSystem,PLAT-44,1,1,filesystem
SDL_FOLDER_PICTURES,filesystem,IPlatformFileSystem,PLAT-44,1,1,filesystem
SDL_Folder,filesystem,IPlatformFileSystem,PLAT-44,1,1,filesystem
SDL_GetBasePath,filesystem,IPlatformFileSystem,PLAT-44,1,1,filesystem
SDL_GetPrefPath,filesystem,IPlatformFileSystem,PLAT-44,1,1,filesystem
SDL_GetUserFolder,filesystem,IPlatformFileSystem,PLAT-44,1,1,filesystem
SDL_LoadFile,filesystem,IPlatformFileSystem,PLAT-44,1,1,filesystem
SDL_LoadFile_IO,filesystem,IPlatformFileSystem,PLAT-44,1,1,IO stream API
SDL_GL_SetAttribute,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,19,6,GL context
SDL_GL_GetSwapInterval,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,17,3,GL context
SDL_GL_GetAttribute,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,16,2,GL context
SDL_GL_GetProcAddress,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,10,4,GL context
SDL_GL_SetSwapInterval,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,10,5,GL context
SDL_GLContext,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,7,3,GL context type
SDL_GL_CONTEXT_MAJOR_VERSION,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,7,5,GL context
SDL_GL_CONTEXT_MINOR_VERSION,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,7,5,GL context
SDL_GL_CONTEXT_PROFILE_MASK,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,7,5,GL context
SDL_GL_MULTISAMPLEBUFFERS,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,7,4,GL context
SDL_GL_CONTEXT_PROFILE_COMPATIBILITY,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,6,5,GL context
SDL_GL_MULTISAMPLESAMPLES,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,6,3,GL context
SDL_GL_CONTEXT_PROFILE_CORE,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,5,3,GL context
SDL_GL_CONTEXT_PROFILE_ES,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,5,3,GL context
SDL_GL_DEPTH_SIZE,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,5,3,GL context
SDL_GL_DOUBLEBUFFER,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,5,3,GL context
SDL_GL_STENCIL_SIZE,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,5,3,GL context
SDL_GL_SwapWindow,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,4,3,GL context
SDL_GL_CreateContext,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,3,3,GL context
SDL_opengl,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,3,3,SDL header include
SDL_GLAttr,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,2,2,GL context type
SDL_GL_DestroyContext,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,2,2,GL context
SDL_GL_MakeCurrent,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,2,2,GL context
SDL_GL_ResetAttributes,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,2,2,GL context
SDL_Vulkan_LoadLibrary,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,2,2,Vulkan surface/extensions
SDL_Vulkan_UnloadLibrary,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,2,2,Vulkan surface/extensions
SDL_vulkan,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,2,2,SDL header include
SDL_GL_,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,1,1,GL context
SDL_Vulkan_CreateSurface,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,1,1,Vulkan surface/extensions
SDL_Vulkan_DestroySurface,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,1,1,Vulkan surface/extensions
SDL_Vulkan_GetInstanceExtensions,gl-vulkan-interop,IPlatformGlContext / IPlatformVulkanSurface,PLAT-22/PLAT-23/PLAT-41/PLAT-42,1,1,Vulkan surface/extensions
