\bbackend\b	renderer	12114
Backend\b	Renderer	10263
\b(Ascii|Bgfx|Canvas|Diligent|Direct2D|EasyGL|FreeDirect|Gdi|Glide|Headless|HtmlDom|Llgl|Magnum|Metal|OpenGL1|OpenGL2|OpenGL4|OpenGLES1|SdlGpu|Skia|Software|Sokol|Stub|Vulkan|WebGPU|Wicked|Dx1|Dx2|Dx3|Dx5|Dx6|Dx7|Dx8|D3D9|D3D10|D3D11|D3D12)GraphicsBackend	\1Renderer	5381
cna_register_backend_test	cna_register_renderer_test	1604
CNA_BACKEND_	CNA_RENDERER_	1499
CNA::Internal::Backends	CNA::Internal::Renderers	1290
Backend(?=[A-Z0-9])	Renderer	1140
GraphicsBackend	GraphicsRenderer	1049
CNA/Internal/Backends	CNA/Internal/Renderers	1039
\bbackends\b	renderers	717
backend_	renderer_	661
GRAPHICS_BACKEND	GRAPHICS_RENDERER	354
(?<!input)-backend\.md	-renderer.md	249
graphicsBackend	graphicsRenderer	219
backend(?=[A-Z0-9])	renderer	154
GraphicsBackendCreateArgs	GraphicsRendererCreateArgs	132
Backend_	Renderer_	121
\bBACKEND_TARGET	RENDERER_TARGET	117
Backends\b	Renderers	113
\bSdlGraphicsBackend	SdlRenderer	97
cna_backend_graphics_	cna_renderer_	71
CreateGraphicsBackend	CreateGraphicsRenderer	52
_cna_enabled_backends	_cna_enabled_renderers	46
\bBACKEND_DIR	RENDERER_DIR	44
CNA_BACKEND_DEFINE	CNA_RENDERER_DEFINE	38
cna_add_renderer_backend	cna_add_renderer	37
graphics-backend-feature-matrix\.md	graphics-renderer-feature-matrix.md	36
getCurrentGraphicsBackendType	getCurrentGraphicsRendererType	27
BackendSelection\.cmake	RendererSelection.cmake	23
getCurrentGraphicsBackendName	getCurrentGraphicsRendererName	22
directx-legacy-backends-analysis\.md	directx-legacy-renderers-analysis.md	17
BACKEND\b	RENDERER	16
graphics_backend	graphics_renderer	13
cna_backend_graphics_d3d9_effect	cna_renderer_d3d9_effect	13
cross_backend_	cross_renderer_	9
cna_backend_graphics_d3dcommon	cna_renderer_d3dcommon	9
cna_renderer_backend_common_setup	cna_renderer_common_setup	7
GetGraphicsBackendType	GetGraphicsRendererType	6
GetGraphicsBackendName	GetGraphicsRendererName	6
_cna_default_backend	_cna_default_renderer	4
_cna_explicit_backend_selection	_cna_explicit_renderer_selection	3
_effectbackend_	_effectrenderer_	3
_cna_backend_	_cna_renderer_	3
BACKENDS\b	RENDERERS	3
resource_backends_test	resource_renderers_test	2
CrossBackendBenchmark	CrossRendererBenchmark	1
