-backend.md	-renderer.md	249
AsciiGraphicsBackend	AsciiRenderer	62
BACKEND	RENDERER	16
BACKENDS	RENDERERS	3
BACKEND_DIR	RENDERER_DIR	44
BACKEND_TARGET	RENDERER_TARGET	117
Backend	Renderer	11403
BackendSelection.cmake	RendererSelection.cmake	23
Backend_	Renderer_	121
Backends	Renderers	113
BgfxGraphicsBackend	BgfxRenderer	166
CNA/Internal/Backends	CNA/Internal/Renderers	1039
CNA::Internal::Backends	CNA::Internal::Renderers	1290
CNA_BACKEND_	CNA_RENDERER_	1499
CNA_BACKEND_DEFINE	CNA_RENDERER_DEFINE	38
CanvasGraphicsBackend	CanvasRenderer	65
CreateGraphicsBackend	CreateGraphicsRenderer	52
CrossBackendBenchmark	CrossRendererBenchmark	1
D3D10GraphicsBackend	D3D10Renderer	59
D3D11GraphicsBackend	D3D11Renderer	278
D3D12GraphicsBackend	D3D12Renderer	193
D3D9GraphicsBackend	D3D9Renderer	232
DiligentGraphicsBackend	DiligentRenderer	158
Direct2DGraphicsBackend	Direct2DRenderer	114
Dx1GraphicsBackend	Dx1Renderer	60
Dx2GraphicsBackend	Dx2Renderer	88
Dx3GraphicsBackend	Dx3Renderer	89
Dx5GraphicsBackend	Dx5Renderer	87
Dx6GraphicsBackend	Dx6Renderer	87
Dx7GraphicsBackend	Dx7Renderer	86
Dx8GraphicsBackend	Dx8Renderer	88
EasyGLGraphicsBackend	EasyGLRenderer	489
FreeDirectGraphicsBackend	FreeDirectRenderer	73
GRAPHICS_BACKEND	GRAPHICS_RENDERER	354
GdiGraphicsBackend	GdiRenderer	116
GetGraphicsBackendName	GetGraphicsRendererName	6
GetGraphicsBackendType	GetGraphicsRendererType	6
GlideGraphicsBackend	GlideRenderer	74
GraphicsBackend	GraphicsRenderer	1049
GraphicsBackendCreateArgs	GraphicsRendererCreateArgs	132
HeadlessGraphicsBackend	HeadlessRenderer	121
HtmlDomGraphicsBackend	HtmlDomRenderer	86
LlglGraphicsBackend	LlglRenderer	188
MagnumGraphicsBackend	MagnumRenderer	81
MetalGraphicsBackend	MetalRenderer	132
OpenGL1GraphicsBackend	OpenGL1Renderer	90
OpenGL2GraphicsBackend	OpenGL2Renderer	119
OpenGL4GraphicsBackend	OpenGL4Renderer	94
OpenGLES1GraphicsBackend	OpenGLES1Renderer	107
SdlGpuGraphicsBackend	SdlGpuRenderer	284
SdlGraphicsBackend	SdlRenderer	97
SkiaGraphicsBackend	SkiaRenderer	186
SoftwareGraphicsBackend	SoftwareRenderer	157
SokolGraphicsBackend	SokolRenderer	152
StubGraphicsBackend	StubRenderer	16
VulkanGraphicsBackend	VulkanRenderer	457
WebGPUGraphicsBackend	WebGPURenderer	322
WickedGraphicsBackend	WickedRenderer	125
_cna_backend_	_cna_renderer_	3
_cna_default_backend	_cna_default_renderer	4
_cna_enabled_backends	_cna_enabled_renderers	46
_cna_explicit_backend_selection	_cna_explicit_renderer_selection	3
_effectbackend_	_effectrenderer_	3
backend	renderer	12268
backend_	renderer_	661
backends	renderers	717
cna_add_renderer_backend	cna_add_renderer	37
cna_backend_graphics_	cna_renderer_	71
cna_backend_graphics_d3d9_effect	cna_renderer_d3d9_effect	13
cna_backend_graphics_d3dcommon	cna_renderer_d3dcommon	9
cna_register_backend_test	cna_register_renderer_test	1604
cna_renderer_backend_common_setup	cna_renderer_common_setup	7
cross_backend_	cross_renderer_	9
directx-legacy-backends-analysis.md	directx-legacy-renderers-analysis.md	17
getCurrentGraphicsBackendName	getCurrentGraphicsRendererName	22
getCurrentGraphicsBackendType	getCurrentGraphicsRendererType	27
graphics-backend-feature-matrix.md	graphics-renderer-feature-matrix.md	36
graphicsBackend	graphicsRenderer	219
graphics_backend	graphics_renderer	13
resource_backends_test	resource_renderers_test	2
